Date,Price,Open,High,Low,Vol.,Change %
2/28/2025,"16,575.00","16,535.00","16,592.50","16,515.00",,0.79%
2/27/2025,"16,445.00","16,390.00","16,455.00","16,390.00",,0.49%
2/26/2025,"16,365.00","16,352.50","16,410.00","16,287.50",,0.15%
2/25/2025,"16,340.00","16,290.00","16,357.50","16,280.00",,0.43%
2/24/2025,"16,270.00","16,310.00","16,327.50","16,270.00",,-0.18%
2/21/2025,"16,300.00","16,290.00","16,317.50","16,272.50",,-0.15%
2/20/2025,"16,325.00","16,355.00","16,372.50","16,322.00",,-0.03%
2/19/2025,"16,330.00","16,320.00","16,372.50","16,307.50",,0.37%
2/18/2025,"16,270.00","16,237.50","16,293.50","16,232.50",,0.37%
2/17/2025,"16,210.00","16,185.00","16,227.00","16,174.00",,-0.28%
2/14/2025,"16,255.00","16,290.00","16,315.00","16,247.50",,-0.58%
2/13/2025,"16,350.00","16,385.00","16,400.00","16,348.50",,-0.06%
2/12/2025,"16,360.00","16,357.50","16,380.50","16,346.50",,-0.06%
2/11/2025,"16,370.00","16,367.50","16,390.00","16,355.00",,0.18%
2/10/2025,"16,340.00","16,320.00","16,357.50","16,317.50",,0.43%
2/7/2025,"16,270.00","16,332.50","16,350.00","16,275.00",,-0.34%
2/6/2025,"16,325.00","16,292.50","16,345.00","16,287.00",,0.28%
2/5/2025,"16,280.00","16,315.00","16,335.00","16,285.00",,-0.37%
2/4/2025,"16,340.00","16,370.00","16,382.50","16,345.00",,-0.55%
2/3/2025,"16,430.00","16,400.00","16,472.50","16,392.50",,0.83%
