Date,Price,Open,High,Low,Change %
1/31/2025,"16,295.00","16,280.00","16,322.50","16,280.00",0.25%
1/30/2025,"16,255.00","16,235.00","16,275.00","16,221.50",0.53%
1/29/2025,"16,170.00","16,170.00","16,170.00","16,170.00",0.00%
1/28/2025,"16,170.00","16,170.00","16,170.00","16,170.00",0.00%
1/27/2025,"16,170.00","16,170.00","16,170.00","16,170.00",0.00%
1/24/2025,"16,170.00","16,260.00","16,260.00","16,150.00",-0.65%
1/23/2025,"16,275.00","16,265.00","16,317.50","16,237.50",-0.03%
1/22/2025,"16,280.00","16,305.00","16,341.00","16,280.00",-0.31%
1/21/2025,"16,330.00","16,310.00","16,347.50","16,290.00",-0.15%
1/20/2025,"16,355.00","16,365.00","16,387.50","16,347.50",-0.03%
1/17/2025,"16,360.00","16,365.00","16,375.00","16,345.00",0.03%
1/16/2025,"16,355.00","16,355.00","16,390.00","16,347.50",0.25%
1/15/2025,"16,315.00","16,290.00","16,340.00","16,281.50",0.34%
1/14/2025,"16,260.00","16,270.00","16,282.50","16,250.00",-0.06%
1/13/2025,"16,270.00","16,247.50","16,292.50","16,232.50",0.56%
1/10/2025,"16,180.00","16,212.50","16,215.00","16,170.00",-0.09%
1/9/2025,"16,195.00","16,240.00","16,267.50","16,200.00",0.03%
1/8/2025,"16,190.00","16,167.50","16,215.00","16,157.50",0.40%
1/7/2025,"16,125.00","16,175.00","16,195.00","16,127.50",-0.40%
1/6/2025,"16,190.00","16,200.00","16,212.50","16,165.00",0.03%
1/3/2025,"16,185.00","16,225.00","16,245.00","16,190.00",-0.03%
1/2/2025,"16,190.00","16,200.00","16,262.50","16,174.50",0.62%
1/1/2025,"16,090.00","16,090.00","16,090.00","16,090.00",0.00%
