"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2025","11.3350","11.3360","11.3740","11.2690","","0.03%"
"02/27/2025","11.3320","11.4165","11.4200","11.3315","","-0.73%"
"02/26/2025","11.4150","11.4130","11.4605","11.3715","","0.25%"
"02/25/2025","11.3870","11.3835","11.4260","11.3585","","0.13%"
"02/24/2025","11.3720","11.3515","11.4535","11.3430","","0.11%"
"02/21/2025","11.3590","11.3980","11.4030","11.3185","","-0.18%"
"02/20/2025","11.3790","11.3335","11.4035","11.3135","","0.55%"
"02/19/2025","11.3170","11.2885","11.3855","11.2650","","0.35%"
"02/18/2025","11.2770","11.2425","11.3185","11.2040","","0.41%"
"02/17/2025","11.2310","11.2845","11.2995","11.2125","","-0.27%"
"02/14/2025","11.2610","11.3495","11.3595","11.2535","","-0.75%"
"02/13/2025","11.3460","11.2725","11.3565","11.2350","","0.75%"
"02/12/2025","11.2610","11.2710","11.2935","11.2120","","0.08%"
"02/11/2025","11.2520","11.2605","11.2970","11.2325","","0.03%"
"02/10/2025","11.2490","11.1830","11.2810","11.1695","","0.77%"
"02/07/2025","11.1630","11.2895","11.3050","11.1660","","-1.07%"
"02/06/2025","11.2840","11.2675","11.3015","11.2445","","0.30%"
"02/05/2025","11.2500","11.2430","11.2970","11.2130","","0.14%"
"02/04/2025","11.2340","11.2500","11.2870","11.1325","","-0.04%"
"02/03/2025","11.2380","11.1065","11.2675","11.0620","","0.61%"
