"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2025","110.02","109.81","111.09","109.56","","0.23%"
"02/27/2025","109.77","109.79","110.30","109.53","","0.01%"
"02/26/2025","109.76","109.67","110.01","108.97","","0.12%"
"02/25/2025","109.63","108.70","110.01","108.28","","0.88%"
"02/24/2025","108.67","109.15","109.55","108.57","","-0.47%"
"02/21/2025","109.18","109.13","109.50","108.19","","0.07%"
"02/20/2025","109.10","107.83","109.32","107.82","","1.21%"
"02/19/2025","107.80","107.02","108.01","106.95","","0.76%"
"02/18/2025","106.99","107.03","107.41","106.82","","0.00%"
"02/17/2025","106.99","106.81","107.16","106.47","","0.28%"
"02/14/2025","106.69","107.04","107.29","106.38","","-0.29%"
"02/13/2025","107.00","105.98","107.11","105.80","","1.00%"
"02/12/2025","105.94","107.38","107.47","105.71","","-1.30%"
"02/11/2025","107.34","107.54","107.99","107.29","","-0.14%"
"02/10/2025","107.49","107.60","107.85","106.97","","0.05%"
"02/07/2025","107.44","107.86","108.18","106.78","","-0.32%"
"02/06/2025","107.78","106.71","107.97","106.60","","1.03%"
"02/05/2025","106.68","105.90","107.06","105.81","","0.77%"
"02/04/2025","105.86","106.20","106.22","105.09","","-0.27%"
"02/03/2025","106.15","105.21","106.71","104.57","","1.12%"
